BNP FP Equity,PX_LAST,6MO_PUT_IMP_VOL
2021472,40.12,44.295
2021473,40.12,44.295
2021474,39.99,44.295
2021475,39.32,44.295
2021476,39.36,44.295
2021477,39.64,44.295
2021478,41.41,44.295
2021479,41.47,44.295
2021480,42.65,44.295
2021481,42.21,44.295
2021482,42.31,44.295
2021483,42.67,44.295
2021484,43.71,44.295
2021485,44.48,44.295
2021486,43.99,44.295
2021487,43.03,44.295
2021488,43.21,44.295
2021489,43.64,44.295
2021490,43.34,44.295
2021491,42.89,44.295
2021492,43.33,44.295
2021493,43.35,44.295
2021494,43.93,44.295
2021495,43.47,44.295
2021496,43.4,44.295
2021497,44.52,44.295
2021498,44.61,44.295
2021499,44.44,44.295
2021500,44.89,44.295
2021501,44.02,44.295
2021502,43.65,44.295
2021503,43.21,44.295
2021504,43.68,44.295
2021505,43.79,44.295
2021506,43.14,44.295
2021507,42.7,44.295
2021508,42.5,44.295
2021509,41.92,44.295
2021510,41.22,44.295
2021511,41.95,44.295
2021512,43.61,44.295
2021513,44.58,44.295
2021514,47.93,44.295
2021515,48.14,44.295
2021516,47.31,44.295
2021517,46.73,44.295
2021518,46.58,44.295
2021519,47.29,44.295
2021520,47.56,44.295
2021521,47.72,44.295
2021522,48.81,44.295
2021523,48.06,44.295
2021524,47.93,44.295
2021525,48.02,44.295
2021526,47.75,44.295
2021527,47.86,44.295
2021528,48.23,44.295
2021529,48.33,44.295
2021530,46.82,44.295
2021531,46.28,44.295
2021532,47.22,44.295
2021533,47.07,44.295
2021534,47.59,44.295
2021535,48.06,44.295
2021536,47.86,44.295
2021537,47.74,44.295
2021538,47.71,44.295
2021539,47.67,44.295
2021540,47.09,44.295
2021541,47.21,44.295
2021542,47.52,44.295
2021543,47.3,44.295
2021544,46.81,44.295
2021545,47.58,44.295
2021546,47.76,44.295
2021547,48.35,44.295
2021548,47.51,44.295
2021549,47.48,44.295
2021550,46.77,44.295
2021551,46.36,44.295
2021552,46.51,44.295
2021553,47.27,44.295
2021554,46.88,44.295
2021555,46.58,44.295
2021556,46.42,44.295
2021557,46.1,44.295
2021558,46.17,44.295
2021559,46.96,44.295
2021560,48.22,44.295
2021561,47.95,44.295
2021562,47.27,44.295
2021563,48.68,44.295
2021564,48.48,44.295
2021565,48.32,44.295
2021566,48.97,44.295
2021567,49.11,44.295
2021568,49.14,44.295
2021569,48.91,44.295
2021570,49.46,44.295
2021571,50.16,44.295
2021572,49.69,44.295
2021573,49.36,44.295
2021574,48.54,44.295
2021575,48.6,44.295
2021576,48.19,44.295
2021577,47.7,44.295
2021578,48.14,44.295
2021579,48.85,44.295
2021580,49.39,44.295
2021581,49.47,44.295
2021582,49.54,44.295
2021583,49.15,44.295
2021584,50.06,44.295
2021585,49.89,44.295
2021586,50.38,44.295
2021587,51.06,44.295
2021588,51.38,44.295
2021589,51.64,44.295
2021590,50.42,44.295
2021591,49.99,44.295
2021592,49.24,44.295
2021593,49.99,44.295
2021594,50.36,44.295
2021595,50.4,44.295
2021596,49.62,44.295
2021597,49.46,44.295
2021598,48.48,44.295
2021599,48.81,44.295
2021600,48.1,44.295
2021601,48.26,44.295
2021602,48.14,44.295
2021603,47.93,44.295
2021604,47.39,44.295
2021605,47.34,44.295
2021606,47.9,44.295
2021607,48.23,44.295
2021608,47.88,44.295
2021609,46.98,44.295
2021610,46.91,44.295
2021611,46.86,44.295
2021612,47.21,44.295
2021613,48.2,44.295
2021614,49.35,44.295
2021615,49.77,44.295
2021616,49.87,44.295
2021617,49.46,44.295
2021618,49.63,44.295
2021619,49.6,44.295
2021620,49.51,44.295
2021621,50.01,44.295
2021622,50.44,44.295
2021623,49.72,44.295
2021624,49.58,44.295
2021625,50.56,44.295
2021626,50.72,44.295
2021627,51.16,44.295
2021628,51.31,44.295
2021629,51.35,44.295
2021630,50.44,44.295
2021631,51.37,44.295
2021632,51.27,44.295
2021633,50.94,44.295
2021634,50.52,44.295
2021635,50.5,44.295
2021636,49.93,44.295
2021637,49.51,44.295
2021638,49.62,44.295
2021639,49.68,44.295
2021640,50.54,44.295
2021641,50.46,44.295
2021642,51.01,44.295
2021643,50.89,44.295
2021644,51.03,44.295
2021645,50.58,44.295
2021646,51.21,44.295
2021647,51.34,44.295
2021648,51.63,44.295
2021649,50.25,44.295
2021650,49.43,44.295
2021651,49.6,44.295
2021652,49.29,44.295
2021653,48.69,44.295
2021654,48.53,44.295
2021655,48.59,44.295
